State Postal,County Name,TOTAL VOTES CAST,Party1,First name1,Last name1,Votes1,Party2,First name2,Last name2,Votes2,Median Household Income
AR,Poinsett,7550,Dem,Barack,Obama,2387,GOP,Mitt,Romney,4967,"32,248"
AR,Polk,7721,Dem,Barack,Obama,1556,GOP,Mitt,Romney,5950,"31,749"
AR,Pope,20390,Dem,Barack,Obama,5108,GOP,Mitt,Romney,14733,"40,206"
AR,Prairie,3134,Dem,Barack,Obama,877,GOP,Mitt,Romney,2149,"36,191"
AR,Pulaski,159055,Dem,Barack,Obama,87055,GOP,Mitt,Romney,68856,"44,819"
AR,Saline,47059,Dem,Barack,Obama,12868,GOP,Mitt,Romney,32962,"57,787"
AR,Scott,3637,Dem,Barack,Obama,895,GOP,Mitt,Romney,2630,"30,630"
AR,Searcy,3694,Dem,Barack,Obama,814,GOP,Mitt,Romney,2699,"26,330"
AR,Sebastian,43340,Dem,Barack,Obama,13083,GOP,Mitt,Romney,29158,"38,730"
AR,Sevier,4328,Dem,Barack,Obama,1042,GOP,Mitt,Romney,3135,"32,662"
AR,Sharp,7282,Dem,Barack,Obama,2092,GOP,Mitt,Romney,4920,"30,076"
AR,Stone,5351,Dem,Barack,Obama,1356,GOP,Mitt,Romney,3773,"28,442"
AR,Union,17160,Dem,Barack,Obama,6182,GOP,Mitt,Romney,10696,"40,026"
AR,Van Buren,6421,Dem,Barack,Obama,1826,GOP,Mitt,Romney,4362,"35,876"
AR,White,26508,Dem,Barack,Obama,5765,GOP,Mitt,Romney,20005,"40,950"
AR,Woodruff,2685,Dem,Barack,Obama,1340,GOP,Mitt,Romney,1227,"29,184"
AR,Yell,5971,Dem,Barack,Obama,1720,GOP,Mitt,Romney,4041,"38,322"
AZ,Arizona,2041519,Dem,Barack,Obama,900081,GOP,Mitt,Romney,1107130,"47,796"
AZ,Apache,25465,Dem,Barack,Obama,16833,GOP,Mitt,Romney,8198,"32,886"
AZ,Cochise,43776,Dem,Barack,Obama,16223,GOP,Mitt,Romney,26742,"43,017"
AZ,Coconino,46746,Dem,Barack,Obama,26316,GOP,Mitt,Romney,19368,"45,509"
AZ,Gila,18477,Dem,Barack,Obama,6650,GOP,Mitt,Romney,11525,"38,267"
AZ,Graham,11854,Dem,Barack,Obama,3608,GOP,Mitt,Romney,8076,"41,080"
AZ,Greenlee,2972,Dem,Barack,Obama,1310,GOP,Mitt,Romney,1590,"53,312"
AZ,La Paz,4922,Dem,Barack,Obama,1619,GOP,Mitt,Romney,3205,"35,236"
AZ,Maricopa,1187008,Dem,Barack,Obama,512008,GOP,Mitt,Romney,654835,"51,442"
AZ,Mohave,65949,Dem,Barack,Obama,18324,GOP,Mitt,Romney,46442,"34,966"
AZ,Navajo,35775,Dem,Barack,Obama,16157,GOP,Mitt,Romney,19155,"34,662"
AZ,Pima,351817,Dem,Barack,Obama,183470,GOP,Mitt,Romney,162927,"44,745"
AZ,Pinal,102139,Dem,Barack,Obama,41428,GOP,Mitt,Romney,58947,"50,362"
AZ,Santa Cruz,13894,Dem,Barack,Obama,9486,GOP,Mitt,Romney,4235,"36,660"
AZ,Yavapai,96790,Dem,Barack,Obama,32624,GOP,Mitt,Romney,62385,"43,397"
AZ,Yuma,33935,Dem,Barack,Obama,14025,GOP,Mitt,Romney,19500,"39,072"
CA,California,10538656,Dem,Barack,Obama,6241648,GOP,Mitt,Romney,4046524,"58,322"
CA,Alameda,558386,Dem,Barack,Obama,438091,GOP,Mitt,Romney,104330,"70,209"
CA,Alpine,647,Dem,Barack,Obama,389,GOP,Mitt,Romney,236,"46,336"
CA,Amador,15303,Dem,Barack,Obama,6001,GOP,Mitt,Romney,8903,"51,388"
CA,Butte,70163,Dem,Barack,Obama,32567,GOP,Mitt,Romney,35312,"40,748"
CA,Calaveras,18469,Dem,Barack,Obama,7404,GOP,Mitt,Romney,10537,"50,962"
CA,Colusa,5865,Dem,Barack,Obama,2248,GOP,Mitt,Romney,3521,"49,871"
CA,Contra Costa,351257,Dem,Barack,Obama,230826,GOP,Mitt,Romney,112547,"74,208"
CA,Del Norte,7940,Dem,Barack,Obama,3396,GOP,Mitt,Romney,4256,"37,305"
CA,El Dorado,85923,Dem,Barack,Obama,34033,GOP,Mitt,Romney,49661,"68,446"
CA,Fresno,180244,Dem,Barack,Obama,85862,GOP,Mitt,Romney,91143,"41,563"
CA,Glenn,9142,Dem,Barack,Obama,3276,GOP,Mitt,Romney,5608,"41,201"
CA,Humboldt,46269,Dem,Barack,Obama,27757,GOP,Mitt,Romney,15653,"39,837"
CA,Imperial,27453,Dem,Barack,Obama,17464,GOP,Mitt,Romney,9545,"38,185"
CA,Inyo,6501,Dem,Barack,Obama,2775,GOP,Mitt,Romney,3541,"45,748"
CA,Kern,168116,Dem,Barack,Obama,64690,GOP,Mitt,Romney,99840,"45,599"
CA,Kings,30139,Dem,Barack,Obama,12282,GOP,Mitt,Romney,17184,"45,464"
CA,Lake,16274,Dem,Barack,Obama,9159,GOP,Mitt,Romney,6474,"44,657"
CA,Lassen,10603,Dem,Barack,Obama,3044,GOP,Mitt,Romney,7261,"47,480"
CA,Los Angeles,2427869,Dem,Barack,Obama,1672164,GOP,Mitt,Romney,699600,"52,929"
CA,Madera,32372,Dem,Barack,Obama,12698,GOP,Mitt,Romney,18990,"42,054"
CA,Marin,99286,Dem,Barack,Obama,73450,GOP,Mitt,Romney,23347,"88,654"
CA,Mariposa,7805,Dem,Barack,Obama,3080,GOP,Mitt,Romney,4434,"43,166"
CA,Mendocino,17928,Dem,Barack,Obama,11869,GOP,Mitt,Romney,5129,"41,088"
CA,Merced,50538,Dem,Barack,Obama,26128,GOP,Mitt,Romney,23403,"42,552"
CA,Modoc,3986,Dem,Barack,Obama,1113,GOP,Mitt,Romney,2779,"36,724"
CA,Mono,4917,Dem,Barack,Obama,2574,GOP,Mitt,Romney,2202,"53,067"
CA,Monterey,78522,Dem,Barack,Obama,51712,GOP,Mitt,Romney,25087,"56,038"
CA,Napa,32332,Dem,Barack,Obama,19964,GOP,Mitt,Romney,11647,"65,698"
CA,Orange,1021315,Dem,Barack,Obama,457077,GOP,Mitt,Romney,541592,"71,866"
CA,Placer,126325,Dem,Barack,Obama,49126,GOP,Mitt,Romney,74460,"69,521"
CA,Plumas,9128,Dem,Barack,Obama,3670,GOP,Mitt,Romney,5240,"46,450"
CA,Riverside,589721,Dem,Barack,Obama,287754,GOP,Mitt,Romney,290227,"52,416"
CA,Sacramento,388090,Dem,Barack,Obama,221063,GOP,Mitt,Romney,157688,"52,617"
